Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementAttributeValue(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/input_Checkout Your Information_lastName""), ""value"", Lastname, 1)",Chrome 110.0.0.0,,,2023-06-08 15:38:05,2023-06-08 15:38:06,0.550s,PASSED
"setText(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/input_Checkout Your Information_postalCode""), Pincode)",Chrome 110.0.0.0,,,2023-06-08 15:38:06,2023-06-08 15:38:07,0.814s,PASSED
"verifyElementAttributeValue(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/input_Checkout Your Information_postalCode""), ""value"", Pincode, 1)",Chrome 110.0.0.0,,,2023-06-08 15:38:07,2023-06-08 15:38:07,0.549s,PASSED
delay(2),Chrome 110.0.0.0,,,2023-06-08 15:38:07,2023-06-08 15:38:09,2.002s,PASSED
"click(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/input_Cancel_continue""))",Chrome 110.0.0.0,,,2023-06-08 15:38:09,2023-06-08 15:38:10,0.481s,PASSED
"verifyTextPresent(""Payment Information"", false)",Chrome 110.0.0.0,,,2023-06-08 15:38:10,2023-06-08 15:38:10,0.541s,PASSED
"click(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/button_Finish""))",Chrome 110.0.0.0,,,2023-06-08 15:38:10,2023-06-08 15:38:11,0.368s,PASSED
"verifyTextPresent(""Thank you for your order!"", false)",Chrome 110.0.0.0,,,2023-06-08 15:38:11,2023-06-08 15:38:11,0.536s,PASSED
"click(findTestObject(""Object Repository/Day-2/SauceDemo/Page_Swag Labs/button_Back Home""))",Chrome 110.0.0.0,,,2023-06-08 15:38:11,2023-06-08 15:38:11,0.376s,PASSED
delay(5),Chrome 110.0.0.0,,,2023-06-08 15:38:11,2023-06-08 15:38:16,5.001s,PASSED
closeBrowser(),Chrome 110.0.0.0,,,2023-06-08 15:38:16,2023-06-08 15:38:17,0.071s,PASSED
Start listener action : sampleAfterTestCase,Chrome 110.0.0.0,,,2023-06-08 15:38:17,2023-06-08 15:38:17,0.002s,PASSED
